collection_key,theme_slug,theme_name,theme_group,title,edition_key,subcourse,provider,dataset_key,source_name,source_url,source_item_key,source_component_key,official_ordinal,place_name,address_hint,feature_id,sort_order,item_title,item_summary,metadata_json
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-047,primary,47,서산해미읍성,,f_4421039021_p_02e38a6e4166e985,47,서산해미읍성,2023-2024 한국관광 100선 공식 선정지,"{""region"":""충남"",""official_entry_type"":""single"",""feature_match_confidence"":""high"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-048,primary,48,무등산국립공원,,,48,무등산국립공원,2023-2024 한국관광 100선 공식 선정지,"{""region"":""광주"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""지역이 맞는 공공 후보가 있으나 명칭이 동일 장소라고 단정할 수 없어 Feature ID를 채택하지 않음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-049,primary,49,국립아시아문화전당,,f_2911011300_p_4126fe661034b404,49,국립아시아문화전당,2023-2024 한국관광 100선 공식 선정지,"{""region"":""광주"",""official_entry_type"":""single"",""feature_match_confidence"":""high"",""feature_match_reasons"":[""확인된 명칭 변형이 같은 공식 장소를 가리킴""],""feature_match_partial"":false}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-050,primary,50,양림동역사문화마을,,,50,양림동역사문화마을,2023-2024 한국관광 100선 공식 선정지,"{""region"":""광주"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""지역이 맞는 공공 후보가 있으나 명칭이 동일 장소라고 단정할 수 없어 Feature ID를 채택하지 않음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-051,primary,51,5.18기념공원,,,51,5.18기념공원,2023-2024 한국관광 100선 공식 선정지,"{""region"":""광주"",""official_entry_type"":""single"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에서 동일 장소로 안전하게 판단할 Feature를 찾지 못함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-052,primary,52,전주 한옥마을,,,52,전주 한옥마을,2023-2024 한국관광 100선 공식 선정지,"{""region"":""전북"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""지역이 맞는 공공 후보가 있으나 명칭이 동일 장소라고 단정할 수 없어 Feature ID를 채택하지 않음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-053,primary,53,마이산도립공원,,f_5272037022_p_8defd1d3bed3cd1b,53,마이산도립공원,2023-2024 한국관광 100선 공식 선정지,"{""region"":""전북"",""official_entry_type"":""single"",""feature_match_confidence"":""high"",""feature_match_reasons"":[""확인된 명칭 변형이 같은 공식 장소를 가리킴""],""feature_match_partial"":false}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-054,primary,54,내장산국립공원,,,54,내장산국립공원,2023-2024 한국관광 100선 공식 선정지,"{""region"":""전북"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""지역이 맞는 공공 후보가 있으나 명칭이 동일 장소라고 단정할 수 없어 Feature ID를 채택하지 않음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-055,primary,55,반디랜드&태권도원,,f_5273032023_p_8648f198680aa196,55,반디랜드&태권도원,2023-2024 한국관광 100선 공식 선정지,"{""region"":""전북"",""official_entry_type"":""composite"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""반디랜드는 확인했으나 태권도원 상위 Feature가 없어 부분 매칭임""],""feature_match_partial"":true}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-056,primary,56,고인돌운곡습지마을,,,56,고인돌운곡습지마을,2023-2024 한국관광 100선 공식 선정지,"{""region"":""전북"",""official_entry_type"":""single"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에서 동일 장소로 안전하게 판단할 Feature를 찾지 못함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-057,primary,57,고군산군도,,,57,고군산군도,2023-2024 한국관광 100선 공식 선정지,"{""region"":""전북"",""official_entry_type"":""single"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에서 동일 장소로 안전하게 판단할 Feature를 찾지 못함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-058,primary,58,왕궁리유적,,f_5214041033_p_5e157ec3da0aa434,58,왕궁리유적,2023-2024 한국관광 100선 공식 선정지,"{""region"":""전북"",""official_entry_type"":""single"",""feature_match_confidence"":""high"",""feature_match_reasons"":[""익산 왕궁리 유적 국가유산 Feature가 행정구역 접두어만 다른 동일 장소임""],""feature_match_partial"":false}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-059,primary,59,죽녹원,,f_4671025027_p_67e7dd612c6be1b9,59,죽녹원,2023-2024 한국관광 100선 공식 선정지,"{""region"":""전남"",""official_entry_type"":""single"",""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
