collection_key,theme_slug,theme_name,theme_group,title,edition_key,subcourse,provider,dataset_key,source_name,source_url,source_item_key,source_component_key,official_ordinal,place_name,address_hint,feature_id,sort_order,item_title,item_summary,metadata_json
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history06,primary,6,목포구등대,전라남도 해남군 화원면 매월리,,21,목포구등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history07,primary,7,산지등대,제주특별자치도 제주시 건입동,,22,산지등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history08,primary,8,상백도등대,전라남도 여수시 삼산면 거문리,,23,상백도등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history09,primary,9,소리도등대,전라남도 여수시 남면 연도리,,24,소리도등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history10,primary,10,암태도등대,전라남도 신안군 암태면 신석리,,25,암태도등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history11,primary,11,제뢰등대,부산광역시 남구 감만동,,26,제뢰등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history12,primary,12,주문진등대,강원특별자치도 강릉시 주문진읍 주문리,,27,주문진등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history13,primary,13,죽변등대,경상북도 울진군 죽변면 죽변리,,28,죽변등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history14,primary,14,하조도등대,전라남도 진도군 조도면 창유리,,29,하조도등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history15,primary,15,한산항등표,경상남도 통영시 한산면 두억리,,30,한산항등표,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
